threshold,precision,recall,f1
0.01,0.002026761524621016,1.0,0.004045324141916575
0.02,0.002323651452282158,1.0,0.004636529226693161
0.03,0.0026133577605948755,0.9897959183673469,0.0052129517667607135
0.04,0.0029225670382645374,0.9897959183673469,0.005827925979331891
0.05,0.003213389121338912,0.9795918367346939,0.006405765188669802
0.06,0.003541651294916255,0.9795918367346939,0.0070577856197618005
0.07,0.003852548765156738,0.9693877551020408,0.007674597083653108
0.08,0.004156717077916335,0.9591836734693877,0.008277562522014795
0.09,0.00451575710991545,0.9591836734693877,0.008989193841445921
0.1,0.004888195527821113,0.9591836734693877,0.009726821192052981
0.11,0.005298461191590102,0.9591836734693877,0.010538707326643871
0.12,0.0057450189463390785,0.9591836734693877,0.011421628189550427
0.13,0.006206668867613074,0.9591836734693877,0.012333530144984582
0.14,0.006671871672936334,0.9591836734693877,0.013251568337210123
0.15,0.007164088103040926,0.9591836734693877,0.014221953249111128
0.16,0.007583170254403131,0.9489795918367347,0.015046109043844038
0.17,0.008095740936290039,0.9387755102040817,0.01605304484383179
0.18,0.008631203677643307,0.9387755102040817,0.017105140838523752
0.19,0.009267653873274906,0.9387755102040817,0.01835411471321696
0.2,0.009834313201496525,0.9387755102040817,0.0194647201946472
0.21,0.010452169961372415,0.9387755102040817,0.020674157303370785
0.22,0.0109151973131822,0.9285714285714286,0.021576763485477178
0.23,0.011610104618525133,0.9285714285714286,0.02293346774193548
0.24,0.012327282579246817,0.9285714285714286,0.024331550802139036
0.25,0.013007432818753573,0.9285714285714286,0.025655483507189172
0.26,0.01370688356680223,0.9285714285714286,0.02701499183612884
0.27,0.014506615654391838,0.9285714285714286,0.028566943964840684
0.28,0.01530183285690264,0.9285714285714286,0.030107526881720432
0.29,0.0161090458488228,0.9285714285714286,0.031668696711327646
0.3,0.016942841184137032,0.9285714285714286,0.033278478698116655
0.31,0.017728423923631404,0.9285714285714286,0.034792582680175876
0.32,0.018617021276595744,0.9285714285714286,0.03650220617729643
0.33,0.019532088430993775,0.9285714285714286,0.03825940718940509
0.34,0.020421903052064632,0.9285714285714286,0.039964866051822576
0.35,0.021447089323591798,0.9285714285714286,0.04192582354296245
0.36,0.02259185700099305,0.9285714285714286,0.044110518662142516
0.37,0.023599585062240663,0.9285714285714286,0.04602933737986849
0.38,0.024213075060532687,0.9183673469387755,0.04718217562254259
0.39,0.02531645569620253,0.9183673469387755,0.049274568847522585
0.4,0.026619343389529725,0.9183673469387755,0.051739005461339464
0.41,0.027803521779425393,0.9183673469387755,0.053973013493253376
0.42,0.02877237851662404,0.9183673469387755,0.05579665220086794
0.43,0.02992021276595745,0.9183673469387755,0.057952350289761756
0.44,0.031109574835810578,0.9183673469387755,0.06018054162487463
0.45,0.032327586206896554,0.9183673469387755,0.06245662734212353
0.46,0.033582089552238806,0.9183673469387755,0.06479481641468682
0.47,0.035046728971962614,0.9183673469387755,0.06751687921980494
0.48,0.036525974025974024,0.9183673469387755,0.0702576112412178
0.49,0.0379746835443038,0.9183673469387755,0.07293354943273905
0.5,0.039525691699604744,0.9183673469387755,0.07578947368421053
0.51,0.04132231404958678,0.9183673469387755,0.07908611599297014
0.52,0.04312410158121706,0.9183673469387755,0.08237986270022883
0.53,0.04513540621865597,0.9183673469387755,0.08604206500956024
0.54,0.04726890756302521,0.9183673469387755,0.0899100899100899
0.55,0.04928806133625411,0.9183673469387755,0.09355509355509356
0.56,0.05131128848346636,0.9183673469387755,0.09719222462203024
0.57,0.05363528009535161,0.9183673469387755,0.10135135135135136
0.58,0.055521283158544106,0.9183673469387755,0.10471204188481675
0.59,0.05761843790012804,0.9183673469387755,0.10843373493975904
0.6,0.05928853754940711,0.9183673469387755,0.11138613861386139
0.61,0.061224489795918366,0.9183673469387755,0.11479591836734696
0.62,0.06293706293706294,0.9183673469387755,0.11780104712041886
0.63,0.06479481641468683,0.9183673469387755,0.12104909213180902
0.64,0.066815144766147,0.9183673469387755,0.12456747404844291
0.65,0.06896551724137931,0.9183673469387755,0.12829650748396293
0.66,0.07114624505928854,0.9183673469387755,0.13206162876008806
0.67,0.07401315789473684,0.9183673469387755,0.136986301369863
0.68,0.07679033649698015,0.9081632653061225,0.14160700079554495
0.69,0.08018018018018018,0.9081632653061225,0.14735099337748345
0.7,0.0827906976744186,0.9081632653061225,0.1517476555839727
0.71,0.08508604206500955,0.9081632653061225,0.15559440559440557
0.72,0.08768472906403942,0.9081632653061225,0.15992812219227315
0.73,0.09137577002053388,0.9081632653061225,0.16604477611940296
0.74,0.09408033826638477,0.9081632653061225,0.17049808429118773
0.75,0.0967391304347826,0.9081632653061225,0.174852652259332
0.76,0.10033821871476889,0.9081632653061225,0.1807106598984772
0.77,0.10397196261682243,0.9081632653061225,0.18658280922431864
0.78,0.1063321385902031,0.9081632653061225,0.19037433155080213
0.79,0.10933660933660934,0.9081632653061225,0.19517543859649125
0.8,0.11323155216284987,0.9081632653061225,0.2013574660633484
0.81,0.118508655126498,0.9081632653061225,0.20965842167255594
0.82,0.12258953168044077,0.9081632653061225,0.21601941747572814
0.83,0.12552891396332863,0.9081632653061225,0.22057001239157373
0.84,0.12861271676300579,0.9081632653061225,0.22531645569620254
0.85,0.13224368499257058,0.9081632653061225,0.23086900129701687
